,x,y
0,210,15
1,209,25
2,207,38
3,204,55
4,199,70
5,193,83
6,188,92
7,182,100
8,177,107
9,171,113
10,165,117
11,160,120
12,155,121
13,153,120
14,153,119
15,153,118
16,153,116
17,153,115
18,153,113
19,153,111
20,153,109
21,153,108
22,153,107
23,152,107
24,152,107
25,151,106
26,151,108
27,151,110
28,151,112
29,151,116
30,151,120
31,151,125
32,152,132
33,152,140
34,152,150
35,151,160
36,151,171
37,150,184
38,149,198
39,148,214
40,148,229
41,146,259
42,146,272
43,146,286
44,145,299
45,143,312
46,142,323
47,142,323
48,141,333
49,141,343
50,141,353
51,141,362
52,142,371
53,146,388
54,147,395
55,148,400
56,150,404
57,151,407
58,152,408
59,153,410
60,155,410
61,156,409
62,157,408
63,158,408
64,158,406
65,158,405
66,158,404
67,158,403
68,158,403
69,158,402
70,158,401
71,158,400
72,158,399
73,158,397
74,158,395
75,159,391
76,160,388
77,162,383
78,163,376
79,164,369
80,165,361
81,166,351
82,166,340
83,166,328
84,166,317
85,165,305
86,165,294
87,164,283
88,164,270
89,164,259
90,165,247
91,166,235
92,168,223
93,168,212
94,168,202
95,169,192
96,169,182
97,170,173
98,171,165
99,172,157
100,173,149
101,172,138
102,172,133
103,171,128
104,171,128
105,169,126
106,169,124
107,168,123
108,167,122
109,167,121
110,166,120
111,167,119
112,167,117
113,168,114
114,168,114
115,169,114
116,170,115
117,173,117
118,177,118
119,182,120
120,189,121
121,197,122
122,206,123
123,215,123
124,215,123
125,234,124
126,244,124
127,254,125
128,264,125
129,276,127
130,288,128
131,300,129
132,314,131
133,328,132
134,342,133
135,356,133
136,372,133
137,387,133
138,403,133
139,418,133
140,434,133
141,448,134
142,463,135
143,476,136
144,488,138
145,498,140
146,505,141
147,511,142
148,515,143
149,517,143
150,518,143
151,519,142
152,519,142
153,518,142
154,517,142
155,517,144
156,517,145
157,517,147
158,516,149
159,516,151
160,516,154
161,515,160
162,515,160
163,515,164
164,515,169
165,515,174
166,517,180
167,518,187
168,520,195
169,524,203
170,529,213
171,533,223
172,537,232
173,545,254
174,548,265
175,550,276
176,552,289
177,554,302
178,554,314
179,554,326
180,552,337
181,552,337
182,550,346
183,547,355
184,543,362
185,533,371
186,528,374
187,522,374
188,516,374
189,512,373
190,508,371
191,505,370
192,503,369
193,503,369
194,503,368
195,503,369
196,504,369
197,504,369
198,504,368
199,504,367
200,503,365
201,502,362
202,500,359
203,499,355
204,497,349
205,495,342
206,494,334
207,495,325
208,498,316
209,502,307
210,509,299
211,519,294
212,531,292
213,543,293
214,556,297
215,568,304
216,578,313
217,584,325
218,587,337
219,586,351
220,580,364
221,572,376
222,562,386
223,550,393
224,535,396
225,520,394
226,506,389
227,493,381
228,482,368
229,474,354
230,470,340
231,468,324
232,471,311
233,489,293
234,500,290
235,513,292
236,526,297
237,537,305
238,545,316
239,545,316
240,549,328
241,549,339
242,545,349
243,537,356
244,528,360
245,505,359
246,494,353
247,484,345
248,478,335
249,474,325
250,475,314
251,479,305
252,486,297
253,496,293
254,507,292
255,518,295
256,528,301
257,536,311
258,541,321
259,542,330
260,539,339
261,534,346
262,526,349
263,516,349
264,504,345
265,494,338
266,485,328
267,479,319
268,477,309
269,479,301
270,483,295
271,489,292
272,497,291
273,506,294
274,513,299
275,520,305
276,525,312
277,528,319
278,528,326
279,525,331
280,521,333
281,516,332
282,512,330
283,508,326
284,506,321
285,505,315
286,505,309
287,507,303
288,509,299
289,512,297
290,516,297
291,519,297
292,523,297
293,531,297
294,534,296
295,538,296
296,540,295
297,540,295
298,543,294
299,545,294
300,546,293
301,547,292
302,547,291
303,548,291
304,548,292
305,548,292
306,547,291
307,547,291
308,547,292
309,547,291
310,547,291
311,548,291
312,549,291
313,549,290
314,550,290
315,550,290
316,550,290
317,551,289
318,551,288
319,552,286
320,552,286
321,552,285
322,553,284
323,553,283
324,553,283
325,554,283
326,554,283
327,554,283
328,554,283
329,553,283
330,552,283
331,551,282
332,549,282
333,549,281
334,548,282
335,548,282
336,548,282
337,549,283
338,549,283
339,548,282
340,547,281
341,545,280
342,543,280
343,542,280
344,540,279
345,537,280
346,535,281
347,533,282
348,531,282
349,529,283
350,527,283
351,526,283
352,523,283
353,509,275
354,509,275
355,498,268
356,481,258
357,461,243
358,437,222
359,410,196
360,380,164
361,345,114
362,309,51
363,227,40
364,235,38
365,236,33
366,235,30
367,239,36
368,247,32
369,249,38
370,249,38
371,246,33
372,245,36
373,251,40
374,245,36
375,246,37
376,246,37
377,247,36
378,246,34
379,245,36
380,245,32
381,249,36
382,243,37
383,243,33
384,249,31
385,248,36
386,242,33
387,243,32
388,247,34
389,250,36
390,245,38
391,246,35
392,248,34
393,244,34
394,251,39
395,249,36
396,246,34
397,244,34
398,249,33
399,244,35
400,246,36
401,251,38
402,249,39
403,246,33
404,249,36
405,250,34
406,241,35
407,244,29
408,245,34
409,249,31
410,244,30
411,247,31
412,244,35
413,249,35
414,249,37
415,249,39
416,248,35
417,247,32
418,247,37
419,246,40
420,243,35
421,246,37
422,243,38
423,245,41
424,241,42
425,245,42
426,245,44
427,243,37
428,244,39
429,242,38
430,240,39
431,245,43
432,244,42
433,243,41
434,240,35
435,242,51
436,238,37
437,243,40
438,243,40
439,239,41
440,244,40
441,240,39
442,245,43
443,238,37
444,237,44
445,231,48
