,0
0,"[210, 465]"
1,"[209, 455]"
2,"[207, 442]"
3,"[204, 425]"
4,"[199, 410]"
5,"[193, 397]"
6,"[188, 388]"
7,"[182, 380]"
8,"[177, 373]"
9,"[171, 367]"
10,"[165, 363]"
11,"[160, 360]"
12,"[155, 359]"
13,"[153, 360]"
14,"[153, 361]"
15,"[153, 362]"
16,"[153, 364]"
17,"[153, 365]"
18,"[153, 367]"
19,"[153, 369]"
20,"[153, 371]"
21,"[153, 372]"
22,"[153, 373]"
23,"[152, 373]"
24,"[152, 373]"
25,"[151, 374]"
26,"[151, 372]"
27,"[151, 370]"
28,"[151, 368]"
29,"[151, 364]"
30,"[151, 360]"
31,"[151, 355]"
32,"[152, 348]"
33,"[152, 340]"
34,"[152, 330]"
35,"[151, 320]"
36,"[151, 309]"
37,"[150, 296]"
38,"[149, 282]"
39,"[148, 266]"
40,"[148, 251]"
41,"[146, 221]"
42,"[146, 208]"
43,"[146, 194]"
44,"[145, 181]"
45,"[143, 168]"
46,"[142, 157]"
47,"[142, 157]"
48,"[141, 147]"
49,"[141, 137]"
50,"[141, 127]"
51,"[141, 118]"
52,"[142, 109]"
53,"[146, 92]"
54,"[147, 85]"
55,"[148, 80]"
56,"[150, 76]"
57,"[151, 73]"
58,"[152, 72]"
59,"[153, 70]"
60,"[155, 70]"
61,"[156, 71]"
62,"[157, 72]"
63,"[158, 72]"
64,"[158, 74]"
65,"[158, 75]"
66,"[158, 76]"
67,"[158, 77]"
68,"[158, 77]"
69,"[158, 78]"
70,"[158, 79]"
71,"[158, 80]"
72,"[158, 81]"
73,"[158, 83]"
74,"[158, 85]"
75,"[159, 89]"
76,"[160, 92]"
77,"[162, 97]"
78,"[163, 104]"
79,"[164, 111]"
80,"[165, 119]"
81,"[166, 129]"
82,"[166, 140]"
83,"[166, 152]"
84,"[166, 163]"
85,"[165, 175]"
86,"[165, 186]"
87,"[164, 197]"
88,"[164, 210]"
89,"[164, 221]"
90,"[165, 233]"
91,"[166, 245]"
92,"[168, 257]"
93,"[168, 268]"
94,"[168, 278]"
95,"[169, 288]"
96,"[169, 298]"
97,"[170, 307]"
98,"[171, 315]"
99,"[172, 323]"
100,"[173, 331]"
101,"[172, 342]"
102,"[172, 347]"
103,"[171, 352]"
104,"[171, 352]"
105,"[169, 354]"
106,"[169, 356]"
107,"[168, 357]"
108,"[167, 358]"
109,"[167, 359]"
110,"[166, 360]"
111,"[167, 361]"
112,"[167, 363]"
113,"[168, 366]"
114,"[168, 366]"
115,"[169, 366]"
116,"[170, 365]"
117,"[173, 363]"
118,"[177, 362]"
119,"[182, 360]"
120,"[189, 359]"
121,"[197, 358]"
122,"[206, 357]"
123,"[215, 357]"
124,"[215, 357]"
125,"[234, 356]"
126,"[244, 356]"
127,"[254, 355]"
128,"[264, 355]"
129,"[276, 353]"
130,"[288, 352]"
131,"[300, 351]"
132,"[314, 349]"
133,"[328, 348]"
134,"[342, 347]"
135,"[356, 347]"
136,"[372, 347]"
137,"[387, 347]"
138,"[403, 347]"
139,"[418, 347]"
140,"[434, 347]"
141,"[448, 346]"
142,"[463, 345]"
143,"[476, 344]"
144,"[488, 342]"
145,"[498, 340]"
146,"[505, 339]"
147,"[511, 338]"
148,"[515, 337]"
149,"[517, 337]"
150,"[518, 337]"
151,"[519, 338]"
152,"[519, 338]"
153,"[518, 338]"
154,"[517, 338]"
155,"[517, 336]"
156,"[517, 335]"
157,"[517, 333]"
158,"[516, 331]"
159,"[516, 329]"
160,"[516, 326]"
161,"[515, 320]"
162,"[515, 320]"
163,"[515, 316]"
164,"[515, 311]"
165,"[515, 306]"
166,"[517, 300]"
167,"[518, 293]"
168,"[520, 285]"
169,"[524, 277]"
170,"[529, 267]"
171,"[533, 257]"
172,"[537, 248]"
173,"[545, 226]"
174,"[548, 215]"
175,"[550, 204]"
176,"[552, 191]"
177,"[554, 178]"
178,"[554, 166]"
179,"[554, 154]"
180,"[552, 143]"
181,"[552, 143]"
182,"[550, 134]"
183,"[547, 125]"
184,"[543, 118]"
185,"[533, 109]"
186,"[528, 106]"
187,"[522, 106]"
188,"[516, 106]"
189,"[512, 107]"
190,"[508, 109]"
191,"[505, 110]"
192,"[503, 111]"
193,"[503, 111]"
194,"[503, 112]"
195,"[503, 111]"
196,"[504, 111]"
197,"[504, 111]"
198,"[504, 112]"
199,"[504, 113]"
200,"[503, 115]"
201,"[502, 118]"
202,"[500, 121]"
203,"[499, 125]"
204,"[497, 131]"
205,"[495, 138]"
206,"[494, 146]"
207,"[495, 155]"
208,"[498, 164]"
209,"[502, 173]"
210,"[509, 181]"
211,"[519, 186]"
212,"[531, 188]"
213,"[543, 187]"
214,"[556, 183]"
215,"[568, 176]"
216,"[578, 167]"
217,"[584, 155]"
218,"[587, 143]"
219,"[586, 129]"
220,"[580, 116]"
221,"[572, 104]"
222,"[562, 94]"
223,"[550, 87]"
224,"[535, 84]"
225,"[520, 86]"
226,"[506, 91]"
227,"[493, 99]"
228,"[482, 112]"
229,"[474, 126]"
230,"[470, 140]"
231,"[468, 156]"
232,"[471, 169]"
233,"[489, 187]"
234,"[500, 190]"
235,"[513, 188]"
236,"[526, 183]"
237,"[537, 175]"
238,"[545, 164]"
239,"[545, 164]"
240,"[549, 152]"
241,"[549, 141]"
242,"[545, 131]"
243,"[537, 124]"
244,"[528, 120]"
245,"[505, 121]"
246,"[494, 127]"
247,"[484, 135]"
248,"[478, 145]"
249,"[474, 155]"
250,"[475, 166]"
251,"[479, 175]"
252,"[486, 183]"
253,"[496, 187]"
254,"[507, 188]"
255,"[518, 185]"
256,"[528, 179]"
257,"[536, 169]"
258,"[541, 159]"
259,"[542, 150]"
260,"[539, 141]"
261,"[534, 134]"
262,"[526, 131]"
263,"[516, 131]"
264,"[504, 135]"
265,"[494, 142]"
266,"[485, 152]"
267,"[479, 161]"
268,"[477, 171]"
269,"[479, 179]"
270,"[483, 185]"
271,"[489, 188]"
272,"[497, 189]"
273,"[506, 186]"
274,"[513, 181]"
275,"[520, 175]"
276,"[525, 168]"
277,"[528, 161]"
278,"[528, 154]"
279,"[525, 149]"
280,"[521, 147]"
281,"[516, 148]"
282,"[512, 150]"
283,"[508, 154]"
284,"[506, 159]"
285,"[505, 165]"
286,"[505, 171]"
287,"[507, 177]"
288,"[509, 181]"
289,"[512, 183]"
290,"[516, 183]"
291,"[519, 183]"
292,"[523, 183]"
293,"[531, 183]"
294,"[534, 184]"
295,"[538, 184]"
296,"[540, 185]"
297,"[540, 185]"
298,"[543, 186]"
299,"[545, 186]"
300,"[546, 187]"
301,"[547, 188]"
302,"[547, 189]"
303,"[548, 189]"
304,"[548, 188]"
305,"[548, 188]"
306,"[547, 189]"
307,"[547, 189]"
308,"[547, 188]"
309,"[547, 189]"
310,"[547, 189]"
311,"[548, 189]"
312,"[549, 189]"
313,"[549, 190]"
314,"[550, 190]"
315,"[550, 190]"
316,"[550, 190]"
317,"[551, 191]"
318,"[551, 192]"
319,"[552, 194]"
320,"[552, 194]"
321,"[552, 195]"
322,"[553, 196]"
323,"[553, 197]"
324,"[553, 197]"
325,"[554, 197]"
326,"[554, 197]"
327,"[554, 197]"
328,"[554, 197]"
329,"[553, 197]"
330,"[552, 197]"
331,"[551, 198]"
332,"[549, 198]"
333,"[549, 199]"
334,"[548, 198]"
335,"[548, 198]"
336,"[548, 198]"
337,"[549, 197]"
338,"[549, 197]"
339,"[548, 198]"
340,"[547, 199]"
341,"[545, 200]"
342,"[543, 200]"
343,"[542, 200]"
344,"[540, 201]"
345,"[537, 200]"
346,"[535, 199]"
347,"[533, 198]"
348,"[531, 198]"
349,"[529, 197]"
350,"[527, 197]"
351,"[526, 197]"
352,"[523, 197]"
353,"[509, 205]"
354,"[509, 205]"
355,"[498, 212]"
356,"[481, 222]"
357,"[461, 237]"
358,"[437, 258]"
359,"[410, 284]"
360,"[380, 316]"
361,"[345, 366]"
362,"[309, 429]"
363,"[227, 440]"
364,"[235, 442]"
365,"[236, 447]"
366,"[235, 450]"
367,"[239, 444]"
368,"[247, 448]"
369,"[249, 442]"
370,"[249, 442]"
371,"[246, 447]"
372,"[245, 444]"
373,"[251, 440]"
374,"[245, 444]"
375,"[246, 443]"
376,"[246, 443]"
377,"[247, 444]"
378,"[246, 446]"
379,"[245, 444]"
380,"[245, 448]"
381,"[249, 444]"
382,"[243, 443]"
383,"[243, 447]"
384,"[249, 449]"
385,"[248, 444]"
386,"[242, 447]"
387,"[243, 448]"
388,"[247, 446]"
389,"[250, 444]"
390,"[245, 442]"
391,"[246, 445]"
392,"[248, 446]"
393,"[244, 446]"
394,"[251, 441]"
395,"[249, 444]"
396,"[246, 446]"
397,"[244, 446]"
398,"[249, 447]"
399,"[244, 445]"
400,"[246, 444]"
401,"[251, 442]"
402,"[249, 441]"
403,"[246, 447]"
404,"[249, 444]"
405,"[250, 446]"
406,"[241, 445]"
407,"[244, 451]"
408,"[245, 446]"
409,"[249, 449]"
410,"[244, 450]"
411,"[247, 449]"
412,"[244, 445]"
413,"[249, 445]"
414,"[249, 443]"
415,"[249, 441]"
416,"[248, 445]"
417,"[247, 448]"
418,"[247, 443]"
419,"[246, 440]"
420,"[243, 445]"
421,"[246, 443]"
422,"[243, 442]"
423,"[245, 439]"
424,"[241, 438]"
425,"[245, 438]"
426,"[245, 436]"
427,"[243, 443]"
428,"[244, 441]"
429,"[242, 442]"
430,"[240, 441]"
431,"[245, 437]"
432,"[244, 438]"
433,"[243, 439]"
434,"[240, 445]"
435,"[242, 429]"
436,"[238, 443]"
437,"[243, 440]"
438,"[243, 440]"
439,"[239, 439]"
440,"[244, 440]"
441,"[240, 441]"
442,"[245, 437]"
443,"[238, 443]"
444,"[237, 436]"
445,"[231, 432]"
